"분류","자치구","공연/행사명","날짜/시간","장소","시작일","종료일"
"전시/미술","서초구","서리풀청년아트갤러리 2월 전시 [수평적 공존]","2023-02-18~2023-03-10","서리풀청년아트갤러리","2023-02-18 09:00:00+09","2023-03-10 09:00:00+09"
"전시/미술","도봉구","안승암 작가의 두 번째 개인전 [그리움을 그리다]","2023-02-18~2023-03-03","함석헌기념관 씨알갤러리","2023-02-18 09:00:00+09","2023-03-03 09:00:00+09"
"클래식","성동구","창작 실내악 음악극 '붕새의 꿈'","2023-02-18~2023-02-18","소월아트홀","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"기타","중구","퓨전국악듀오 아요풍류 콘서트 '조선의 사계'","2023-02-18~2023-02-18","서울시청 시민청 바스락홀","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"클래식","종로구","실내악 시리즈 I: 슈만과 브람스","2023-02-18~2023-02-18","세종문화회관 체임버홀","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"클래식","노원구","2023 노원구립 청소년교향악단 정기연주","2023-02-18~2023-02-18","노원문화예술회관 대공연장","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"콘서트","종로구","재능나눔콘서트 미식음감, 이탈리아 문화 도시 여행","2023-02-18~2023-02-18","서울역사박물관 1층 로비","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"교육/체험","중구","『키키 스미스 ― 자유낙하』 연계 북토크","2023-02-18~2023-02-18","서울시립미술관 서소문본관 지하1층 세마홀","2023-02-18 09:00:00+09","2023-02-18 09:00:00+09"
"전시/미술","구로구","[구캔갤러리] 다시, 봄 ","2023-02-17~2023-03-19","서울 구로구 경인로 661 101동, 306호 구캔갤러리","2023-02-17 09:00:00+09","2023-03-19 09:00:00+09"
"교육/체험","중구","학급단체를 위한 티쳐스 팩(Teacher's pack) : 키키 스미스-자유낙하 전시연계","2023-02-15~2023-03-09","서울시립미술관 서소문본관","2023-02-15 09:00:00+09","2023-03-09 09:00:00+09"
"연극","성북구","미궁의 설계자","2023-02-17~2023-02-26","아르코 예술극장 소극장","2023-02-17 09:00:00+09","2023-02-26 09:00:00+09"
"클래식","종로구","서울클래식음악협회 기획공연시리즈 실내악콘서트III","2023-02-17~2023-02-17","세종체임버홀","2023-02-17 09:00:00+09","2023-02-17 09:00:00+09"
"연극","마포구","[2월/어린이공연] (김윤정 작가) 똥자루 굴러간다","2023-02-17~2023-02-17","4층 어린이자료실","2023-02-17 09:00:00+09","2023-02-17 09:00:00+09"
"클래식","종로구","2인 음악회(김창숙,민경원)","2023-02-17~2023-02-17","꿈의숲 콘서트홀","2023-02-17 09:00:00+09","2023-02-17 09:00:00+09"
"클래식","노원구","2023 노원문화재단 신년음악회-국립심포니오케스트라","2023-02-17~2023-01-17","노원문화예술회관 대공연장","2023-02-17 09:00:00+09","2023-01-17 09:00:00+09"
"전시/미술","도봉구","계절을 넘어서_프레임전/천태만상전","2023-02-16~2023-04-27","삼각산시민청 1동 1층 계단, 2층 활짝라운지","2023-02-16 09:00:00+09","2023-04-27 09:00:00+09"
"교육/체험","중구","전시실의 사적인 대화: 키키 스미스-자유낙하(성인/청소년 프로그램)","2023-02-16~2023-03-10","서울시립미술관 서소문본관","2023-02-16 09:00:00+09","2023-03-10 09:00:00+09"
"전시/미술","도봉구","계절을 넘어서_무작위전","2023-02-16~2023-02-27","삼각산시민청 2동 3층 삼각산시민청갤러리 (서울시 강북구 삼양로 595,3층)","2023-02-16 09:00:00+09","2023-02-27 09:00:00+09"
"국악","노원구","말하는 원숭이","2023-02-16~2023-02-18","노원어린이극장","2023-02-16 09:00:00+09","2023-02-18 09:00:00+09"
"클래식","서초구","지안 왕의 엘가 첼로 협주곡","2023-02-16~2023-02-17","예술의전당 콘서트홀","2023-02-16 09:00:00+09","2023-02-17 09:00:00+09"
"클래식","서초구","베르디 탄생 210주년 기념 2023 감동 클래식 ","2023-02-16~2023-02-16","서초문화재단 반포심산아트홀","2023-02-16 09:00:00+09","2023-02-16 09:00:00+09"
"클래식","종로구","The Pianissimo 음악예술학회 정기연주회","2023-02-16~2023-02-16","세종체임버홀","2023-02-16 09:00:00+09","2023-02-16 09:00:00+09"
"국악","영등포구","KBS 2023 시청자감사음악회 [관현악 시리즈Ⅰ - 신년음악회]","2023-02-16~2023-02-16","KBS홀(서울 영등포구 여의공원로13)","2023-02-16 09:00:00+09","2023-02-16 09:00:00+09"
"교육/체험","은평구","환경보호 동아리 내 발자국, 네 발자국","2023-02-15~2023-03-29","네이버 웨일온을 통한 온라인 수업 / 마지막 회차 구파발천 대면 진행","2023-02-15 09:00:00+09","2023-03-29 09:00:00+09"
"기타","성동구","내 손안의 미생물: 미생물 배양하기 ","2023-02-01~2023-02-22","서울하수도과학관 2층 교육실","2023-02-01 09:00:00+09","2023-02-22 09:00:00+09"
"기타","마포구","[2월/도서관초대석] (장강명 작가) 아무튼, 현수동","2023-02-15~2023-02-15","3층 세미나실","2023-02-15 09:00:00+09","2023-02-15 09:00:00+09"
"독주/독창회","종로구","소프라노 이우연 독창회","2023-02-15~2023-02-15","세종체임버홀","2023-02-15 09:00:00+09","2023-02-15 09:00:00+09"
"교육/체험","중구","[겨울방학 프로그램] 아트랜드, 너는 누구니? Who are you ARTLAND?","2023-02-14~2023-02-24","서울시립 북서울미술관 B1 어린이갤러리1","2023-02-14 09:00:00+09","2023-02-24 09:00:00+09"
"전시/미술","중구","김정아 개인전 오늘의 뉘앙스","2023-02-14~2023-02-21","서울시청 시민청 시민플라자A(지하 1층)","2023-02-14 09:00:00+09","2023-02-21 09:00:00+09"
"교육/체험","송파구","[꿈마을체험교실] '슝슝~ 시간여행, 백제왕성 풍납동 토성'","2023-02-14~2023-02-17","몽촌역사관","2023-02-14 09:00:00+09","2023-02-17 09:00:00+09"
"전시/미술","중랑구","《Regeneration》","2023-02-14~2023-02-17","중랑아트센터 제1전시실","2023-02-14 09:00:00+09","2023-02-17 09:00:00+09"
"교육/체험","중구","[서울시립미술관] 겨울방학 교육 프로그램 일상의 발견 - 제스처 드로잉 : 초등 4-6학년 어린이","2023-02-14~2023-02-16","서울시립미술관 서소문 본관 전시실, 강의실 ","2023-02-14 09:00:00+09","2023-02-16 09:00:00+09"
"국악","종로구","최혜림의 아쟁 <WITH 양승환>","2023-02-14~2023-02-14","서울돈화문국악당","2023-02-14 09:00:00+09","2023-02-14 09:00:00+09"
"독주/독창회","종로구","이형민 피아노 독주회","2023-02-14~2023-02-14","꿈의숲 콘서트홀","2023-02-14 09:00:00+09","2023-02-14 09:00:00+09"
"클래식","종로구","SMCircle 피아노 앙상블 정기연주회","2023-02-14~2023-02-14","세종체임버홀","2023-02-14 09:00:00+09","2023-02-14 09:00:00+09"
"교육/체험","은평구","[구립증산정보도서관] Book작 BOOK작 미디어 캠프 : 북트레일러편 ","2023-02-13~2023-02-28","증산정보도서관 4층 문화강좌실","2023-02-13 09:00:00+09","2023-02-28 09:00:00+09"
"클래식","종로구","조현진 플루트 독주회","2023-02-13~2023-02-13","세종체임버홀","2023-02-13 09:00:00+09","2023-02-13 09:00:00+09"
"연극","종로구","연극 아마데우스","2023-02-12~2023-04-11","세종M씨어터","2023-02-12 09:00:00+09","2023-04-11 09:00:00+09"
"전시/미술","광진구","김효니 작가 카툰전 '집사와 고양이'","2023-02-11~2023-03-22","40days 공유공간 공감카페(서울시 광진구 자양동 611-32)","2023-02-11 09:00:00+09","2023-03-22 09:00:00+09"
"교육/체험","동대문구","[교육] 조각조각 콜라주 수강생 모집","2023-02-11~2023-03-04","답십리영화미디어아트센터 3층 문화예술학교","2023-02-11 09:00:00+09","2023-03-04 09:00:00+09"
"교육/체험","송파구","[꿈마을놀이체험교실] '누가누가 잘하나, 우리놀이' (온라인)","2023-02-11~2023-02-26","몽촌역사관","2023-02-11 09:00:00+09","2023-02-26 09:00:00+09"
"뮤지컬/오페라","성동구","어린이 뮤지컬 [100살 모기 소송사건]","2023-02-11~2023-02-12","소월아트홀, 예림당 아트홀","2023-02-11 09:00:00+09","2023-02-12 09:00:00+09"
"클래식","강북구","2023 강북구립청소년오케스트라 신년음악회","2023-02-11~2023-02-11","강북문화재단/강북진달래홀","2023-02-11 09:00:00+09","2023-02-11 09:00:00+09"
"뮤지컬/오페라","성동구","환경뮤지컬 '지구를 지켜라' - 100살 모기 소송사건","2023-02-11~2023-02-11","소월아트홀(왕십리역9번출구)","2023-02-11 09:00:00+09","2023-02-11 09:00:00+09"
"클래식","강동구","2023 강동아트센터 신년음악회 with 국립심포니오케스트라","2023-02-11~2023-02-11","강동아트센터 대극장 한강","2023-02-11 09:00:00+09","2023-02-11 09:00:00+09"
"교육/체험","도봉구","2023 김근태기념도서관 라키비움 해설 프로그램 [도슨트 ON]","2023-02-10~2023-03-31","김근태기념도서관","2023-02-10 09:00:00+09","2023-03-31 09:00:00+09"
"교육/체험","중구","서울도서관 역사 특강 [인물로 읽는 조선시대]","2023-02-10~2023-02-17","온라인 Zoom","2023-02-10 09:00:00+09","2023-02-17 09:00:00+09"
"뮤지컬/오페라","구로구","구로청소년 뮤지컬극단 온마을 제8회 정기공연  「비빔밥 : 따따이」","2023-02-10~2023-02-11","구로아트밸리 예술극장","2023-02-10 09:00:00+09","2023-02-11 09:00:00+09"
"국악","종로구","서울돈화문국악당 2023 일소당 음악회 - 김청만","2023-02-10~2023-02-10","서울돈화문국악당","2023-02-10 09:00:00+09","2023-02-10 09:00:00+09"
"클래식","종로구","김가람 피아노 리사이틀 `Lament`","2023-02-10~2023-02-10","세종체임버홀","2023-02-10 09:00:00+09","2023-02-10 09:00:00+09"
"콘서트","중구","2023 시민청 활력콘서트 PREview 2-3월 공연","2023-02-09~2023-03-09","서울시청 시민청(B1) 활짝라운지","2023-02-09 09:00:00+09","2023-03-09 09:00:00+09"
"전시/미술","성동구"," 솔직한 담론","2023-02-09~2023-02-26","갤러리허브(서울시 성동구 왕십리광장로 17, 비트플렉스 4층 )","2023-02-09 09:00:00+09","2023-02-26 09:00:00+09"
"전시/미술","광진구","세종아트갤러리 원진숙 초대전 ","2023-02-09~2023-02-20","서울특별시 광진구 능동로 209 세종대학교 광개토관 B1","2023-02-09 09:00:00+09","2023-02-20 09:00:00+09"
"기타","성동구"," 아카펠라로 읽는 문학명작 '그 여자네 집'","2023-02-09~2023-02-09","소월아트홀","2023-02-09 09:00:00+09","2023-02-09 09:00:00+09"
"기타","성동구","빙글빙글 물의 여행","2023-02-04~2023-03-25","서울하수도과학관 2층 교육실","2023-02-04 09:00:00+09","2023-03-25 09:00:00+09"
"독주/독창회","종로구","테너 양재혁 독창회-Winterreise","2023-02-09~2023-02-09","꿈의숲 콘서트홀","2023-02-09 09:00:00+09","2023-02-09 09:00:00+09"
"독주/독창회","종로구","바리톤 김경천 독창회","2023-02-09~2023-02-09","세종체임버홀","2023-02-09 09:00:00+09","2023-02-09 09:00:00+09"
"국악","종로구","서울돈화문국악당 2023 일소당 음악회 - 김광숙","2023-02-09~2023-02-09","서울돈화문국악당","2023-02-09 09:00:00+09","2023-02-09 09:00:00+09"
"교육/체험","중구","모두의 연구실 코랄(세마 코랄 SeMA Coral) Local-first Knowledge 워크숍","2023-02-08~2023-02-15","서울시립미술관 서소문본관 2층 세마 러닝 스테이션","2023-02-08 09:00:00+09","2023-02-15 09:00:00+09"
"전시/미술","강동구","파사드 벌룬아트  [검은 귀를 가진 토끼] 야외전시","2023-02-08~2023-02-08","강동아트센터 파사드 옥상","2023-02-08 09:00:00+09","2023-02-08 09:00:00+09"
"클래식","종로구","피아니스트 정재원 장은혜의 네 손을 위한 콘서트","2023-02-08~2023-02-08","세종문화회관 꿈의숲 콘서트홀","2023-02-08 09:00:00+09","2023-02-08 09:00:00+09"
"독주/독창회","종로구","이양경 피아노 독주회","2023-02-08~2023-02-08","세종체임버홀","2023-02-08 09:00:00+09","2023-02-08 09:00:00+09"
"전시/미술","종로구","衣·表·藝, 입고 꾸미기 위한 공예","2023-02-07~2023-04-02","서울공예박물관 전시1동 3층 기획전시실","2023-02-07 09:00:00+09","2023-04-02 09:00:00+09"
"전시/미술","종로구","현대공예 기획전 [衣·表·藝, 입고 꾸미기 위한 공예]","2023-02-07~2023-04-02","서울공예박물관 전시1동 3층 기획전시실","2023-02-07 09:00:00+09","2023-04-02 09:00:00+09"
"전시/미술","성동구","2023년 청년예술가 첫 개인전 지원사업 통합 전시회","2023-02-07~2023-03-31","상업화랑(을지로), 스페이스 윌링앤딜링, 팩토리2, 피어 컨템포러리","2023-02-07 09:00:00+09","2023-03-31 09:00:00+09"
"연극","광진구","코미디 연극 [휴먼코메디]","2023-02-07~2023-02-19","나루아트센터 소공연장","2023-02-07 09:00:00+09","2023-02-19 09:00:00+09"
"교육/체험","송파구","[한성백제박물관] 겨울방학교실2 - 무엇에 쓰는 물건인고? 고대의 도구","2023-02-07~2023-02-18","한성백제박물관 교육실","2023-02-07 09:00:00+09","2023-02-18 09:00:00+09"
"영화","서초구","[서초문화재단] 심산 영화관 '어바웃 타임'","2023-02-07~2023-02-07","서초문화재단 반포심산아트홀","2023-02-07 09:00:00+09","2023-02-07 09:00:00+09"
"전시/미술","서초구","브랜뉴디자인아카데미 x KAZE PARK 콜라보 전시회 ‘SHOOTING STAR’ 하늘에서 내리는 별","2023-02-06~2023-05-05","브랜뉴디자인아카데미 강남점 8F/9F, 서초구 강남대로 69길 8(브랜뉴디지털아트갤러리)","2023-02-06 09:00:00+09","2023-05-05 09:00:00+09"
"전시/미술","강남구","아!좋다 I like it","2023-02-06~2023-03-14","슈페리어갤러리 제1전시관","2023-02-06 09:00:00+09","2023-03-14 09:00:00+09"
"독주/독창회","종로구","최호경 귀국 피아노 독주회","2023-02-06~2023-02-06","세종체임버홀","2023-02-06 09:00:00+09","2023-02-06 09:00:00+09"
"기타","성동구","옛 술잔과 닮은 변기 속 비밀","2023-02-05~2023-03-26","서울하수도과학관 2층 교육실","2023-02-05 09:00:00+09","2023-03-26 09:00:00+09"
"기타","성동구","내 손안의 미생물 :미생물 배양하기","2023-02-04~2023-03-25","서울하수도과학관 2층 교육실","2023-02-04 09:00:00+09","2023-03-25 09:00:00+09"
"뮤지컬/오페라","광진구","신비아파트 뮤지컬 시즌5 [감염된 도시의 비밀] - 서울앵콜","2023-02-04~2023-03-01","나루아트센터 대공연장","2023-02-04 09:00:00+09","2023-03-01 09:00:00+09"
"교육/체험","광진구","[서울상상나라] (오감요리) 견과류 대보름 쿠키","2023-02-04~2023-02-26","서울상상나라 지하 1층 요리놀이실","2023-02-04 09:00:00+09","2023-02-26 09:00:00+09"
"교육/체험","광진구","[서울상상나라] (가족요리) 나물 룸피아","2023-02-04~2023-02-26","서울상상나라 지하 1층 요리놀이실","2023-02-04 09:00:00+09","2023-02-26 09:00:00+09"
"교육/체험","광진구","[서울상상나라] 상상 골목 사진관","2023-02-04~2023-02-26","서울상상나라 지하 1층 창의놀이실","2023-02-04 09:00:00+09","2023-02-26 09:00:00+09"
"교육/체험","관악구","[서울상상나라] 깡충! 토끼처럼 놀자","2023-02-04~2023-02-26","서울상상나라 지하 1층 영유아놀이실","2023-02-04 09:00:00+09","2023-02-26 09:00:00+09"
"교육/체험","종로구","[서울역사박물관] 제37기 고등학생 인턴제","2023-02-04~2023-02-25","온라인 원격 교육 (Zoom, 네이버 밴드 라이브 사용)","2023-02-04 09:00:00+09","2023-02-25 09:00:00+09"
"축제-전통/역사","중구","2023 남산골 세시울림 입춘&정월 대보름 [봄달 : 봄날에 뜬 달]","2023-02-04~2023-02-05","남산골한옥마을 일대","2023-02-04 09:00:00+09","2023-02-05 09:00:00+09"
"국악","중구","2023 서울남산국악당 공동사업 [마이 판소리 My Pansori]","2023-02-04~2023-02-04","서울남산국악당","2023-02-04 09:00:00+09","2023-02-04 09:00:00+09"
"뮤지컬/오페라","은평구","[대관공연] 가족뮤지컬 인어공주","2023-02-04~2023-02-04","은평문화예술회관 공연장","2023-02-04 09:00:00+09","2023-02-04 09:00:00+09"
"축제-전통/역사","노원구"," 2023 정월대보름 민속축제 한마당 개최 ","2023-02-04~2023-02-04","당현천 하류 일대(당현인도교 ~ 당현 4교 구간)","2023-02-04 09:00:00+09","2023-02-04 09:00:00+09"
"축제-전통/역사","양천구","2023 제21회 정월대보름 민속축제","2023-02-04~2023-02-04","양천구 안양천 야구장 (신정교 아래) / 서울특별시 양천구 안양천로 788","2023-02-04 09:00:00+09","2023-02-04 09:00:00+09"
"교육/체험","중랑구","옹기테마체험관 2월 프로그램","2023-02-03~2023-02-28","서울시 중랑구 신내로21길 116 옹기테마공원","2023-02-03 09:00:00+09","2023-02-28 09:00:00+09"
"전시/미술","강남구","[강민기, 이호준 2인 전시회] BARDOT x Kang Minki 콜라보레이션 에디션","2023-02-03~2023-02-28","바르도 아트센터 ","2023-02-03 09:00:00+09","2023-02-28 09:00:00+09"
